"checkpoint","selected_move_label","leader_move_label","leader_estimate","leader_posterior_sd","leader_allocation_count"
20,"24->23, 24->18","24->23, 24->18",0.8,0.163299316185545,3
40,"6->5, 8->2","8->7, 8->2",0.65,0.143811745632331,8
60,"8->7, 13->7","8->7, 13->7",0.615384615384615,0.130023731496695,11
80,"24->23, 13->7","8->7, 13->7",0.710526315789474,0.101409730884198,17
100,"8->7, 8->2","8->7, 24->18",0.642857142857143,0.102156705990599,19
120,"24->23, 13->7","8->7, 13->7",0.625,0.0842749828079053,30
140,"24->23, 24->18","24->23, 13->7",0.625,0.105644281841065,18
160,"24->23, 8->2","8->7, 13->7",0.628571428571429,0.0805311167870846,33
180,"8->7, 13->7","8->7, 13->7",0.6125,0.0760846367620922,38
200,"8->7, 13->7","8->7, 13->7",0.588888888888889,0.0725466514721957,43
220,"8->7, 24->18","8->7, 24->18",0.585365853658537,0.076018899753559,39
240,"8->7, 24->18","8->7, 24->18",0.565217391304348,0.0723094255166061,44
260,"8->7, 8->2","8->7, 13->7",0.578947368421053,0.0648296591633094,55
280,"8->7, 8->2","8->7, 24->18",0.557692307692308,0.0682215588169727,50
300,"8->7, 24->18","8->7, 24->18",0.571428571428571,0.0655473525344462,54
320,"8->7, 24->18","8->7, 24->18",0.595588235294118,0.0590827090713354,66
