"move_label","finite_recommended","reference_best","finite_allocation_count","finite_estimate","reference_estimate","abs_error"
"24->23, 13->7",FALSE,FALSE,34,0.611111111111111,0.51980198019802,0.0913091309130913
"6->5, 8->2",TRUE,FALSE,24,0.673076923076923,0.52970297029703,0.143373952779893
"6->5, 24->18",FALSE,FALSE,21,0.521739130434783,0.457920792079208,0.0638183383555747
"24->23, 24->18",FALSE,FALSE,19,0.523809523809524,0.465346534653465,0.0584629891560585
"24->23, 8->2",FALSE,FALSE,17,0.605263157894737,0.5,0.105263157894737
"13->7, 7->6",FALSE,FALSE,13,0.6,0.52970297029703,0.0702970297029702
"8->7, 13->7",FALSE,TRUE,12,0.464285714285714,0.589108910891089,0.124823196605375
"8->7, 24->18",FALSE,FALSE,8,0.45,0.485148514851485,0.0351485148514851
"8->7, 8->2",FALSE,FALSE,6,0.375,0.487623762376238,0.112623762376238
"6->5, 13->7",FALSE,FALSE,6,0.25,0.457920792079208,0.207920792079208
